index,y_prob,fatal_itiyor_top5,nonfatal_itiyor_top5
912045,0.19935985288346358,"Police_Force(0.555), Light_Conditions_Daylight__Street_light_present(0.390), Road_Type_Roundabout(0.108), 2nd_Road_Class(0.091), Road_Type_Single_carriageway(0.065)","Weather_Conditions_Raining_without_high_winds(-0.547), 1st_Road_Number(-0.425), Weather_Conditions_Fine_without_high_winds(-0.272), Speed_limit(-0.179), Junction_Control_Unknown(-0.172)"
88606,0.19916726846746424,"Junction_Control_Unknown(0.325), Weather_Conditions_Raining_without_high_winds(0.054), Weather_Conditions_Fine_without_high_winds(0.049), Year(0.049), 2nd_Road_Number(0.043)","Speed_limit(-0.315), 1st_Road_Class(-0.256), Hour(-0.172), NEW_Ped_Risk_Proxy_1(-0.171), Light_Conditions_Daylight__Street_light_present(-0.076)"
254511,0.19905308357550952,"NEW_Ped_Risk_Proxy_1(0.202), 2nd_Road_Class(0.128), 2nd_Road_Number(0.100), Road_Type_Roundabout(0.094), 1st_Road_Class(0.089)","Speed_limit(-0.306), Pedestrian_Crossing_Physical_Facilities_non_junction_pedestrian_crossing(-0.205), month_name_September(-0.191), Junction_Control_Unknown(-0.155), day_name_Monday(-0.154)"
15732,0.1988026369710616,"2nd_Road_Number(0.240), day_name_Wednesday(0.072), Road_Type_Roundabout(0.069), Weather_Conditions_Raining_without_high_winds(0.060), 1st_Road_Number(0.056)","Hour(-0.352), Speed_limit(-0.231), Junction_Control_Unknown(-0.149), NEW_Ped_Risk_Proxy_1(-0.130), 2nd_Road_Class(-0.116)"
826480,0.19814114572516872,"2nd_Road_Class(0.100), Road_Type_Single_carriageway(0.091), Road_Type_Roundabout(0.074), Weather_Conditions_Raining_without_high_winds(0.072), 1st_Road_Class(0.070)","Speed_limit(-0.326), 1st_Road_Number(-0.229), NEW_Ped_Risk_Proxy_1(-0.174), day_name_Wednesday(-0.158), Junction_Control_Unknown(-0.140)"
333871,0.19751338524175407,"Hour(0.205), Road_Surface_Conditions_Wet_Damp(0.161), 1st_Road_Class(0.124), Light_Conditions_Daylight__Street_light_present(0.118), NEW_Ped_Risk_Proxy_1(0.100)","Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction(-0.468), Local_Authority__District_(-0.327), Junction_Control_Unknown(-0.214), Speed_limit(-0.211), Junction_Control_Automatic_traffic_signal(-0.190)"
335650,0.1972213446359729,"Weather_Conditions_Raining_without_high_winds(0.118), 1st_Road_Class(0.090), Road_Type_Roundabout(0.062), 2nd_Road_Class(0.061), 2nd_Road_Number(0.053)","Speed_limit(-0.334), Local_Authority__District_(-0.281), NEW_Ped_Risk_Proxy_1(-0.161), Junction_Control_Unknown(-0.136), Light_Conditions_Daylight__Street_light_present(-0.062)"
857167,0.19702621341353552,"Hour(0.374), Pedestrian_Crossing_Physical_Facilities_No_physical_crossing_within_50_meters(0.119), 1st_Road_Number(0.113), Light_Conditions_Daylight__Street_light_present(0.098), Local_Authority__District_(0.094)","Weather_Conditions_Raining_without_high_winds(-0.414), Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction(-0.365), Speed_limit(-0.271), Junction_Control_Unknown(-0.253), Junction_Control_Automatic_traffic_signal(-0.216)"
788616,0.19674418666129453,"Hour(0.272), Pedestrian_Crossing_Physical_Facilities_No_physical_crossing_within_50_meters(0.210), NEW_Ped_Risk_Proxy_1(0.204), Weather_Conditions_Raining_without_high_winds(0.083), Road_Type_Roundabout(0.079)","Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction(-0.316), Junction_Control_Automatic_traffic_signal(-0.273), Police_Force(-0.255), Speed_limit(-0.181), Junction_Control_Unknown(-0.170)"
159169,0.19656329646135154,"Junction_Control_Unknown(0.343), Road_Type_Single_carriageway(0.101), 1st_Road_Class(0.086), Weather_Conditions_Fine_without_high_winds(0.058), Weather_Conditions_Raining_without_high_winds(0.057)","Speed_limit(-0.313), Police_Force(-0.222), month_name_October(-0.217), NEW_Ped_Risk_Proxy_1(-0.175), Light_Conditions_Daylight__Street_light_present(-0.123)"
